1 0 1
2 1 1
3 2 1
3 3 1
4 3 2
4 4 1
4 5 1
4 6 1
5 4 3
5 5 3
5 6 3
5 7 3
5 8 2
5 9 1
5 10 1
6 5 6
6 6 7
6 7 10
6 8 10
6 9 11
6 10 9
6 11 7
6 12 4
6 13 2
6 14 1
6 15 1
7 6 11
7 7 18
7 8 28
7 9 38
7 10 46
7 11 51
7 12 55
7 13 49
7 14 42
7 15 30
7 16 17
7 17 9
7 18 5
7 19 2
7 20 1
7 21 1
8 7 23
8 8 44
8 9 85
8 10 127
8 11 186
8 12 246
8 13 325
8 14 389
8 15 454
8 16 478
8 17 459
8 18 377
8 19 268
8 20 160
8 21 89
8 22 47
8 23 22
8 24 10
8 25 5
8 26 2
8 27 1
8 28 1
9 8 47
9 9 117
9 10 244
9 11 426
9 12 701
9 13 1078
9 14 1641
9 15 2390
9 16 3419
9 17 4669
9 18 6104
9 19 7423
9 20 8342
9 21 8395
9 22 7409
9 23 5602
9 24 3692
9 25 2173
9 26 1179
9 27 597
9 28 286
9 29 131
9 30 58
9 31 24
9 32 11
9 33 5
9 34 2
9 35 1
9 36 1
10 9 106
10 10 299
10 11 717
10 12 1384
10 13 2542
10 14 4377
10 15 7498
10 16 12482
10 17 20709
10 18 33599
10 19 53498
10 20 82339
10 21 122039
10 22 171466
10 23 226010
10 24 274548
10 25 302507
10 26 295379
10 27 252138
10 28 188697
10 29 126381
10 30 77207
10 31 43650
10 32 23009
10 33 11375
10 34 5268
10 35 2308
10 36 964
10 37 388
10 38 155
10 39 64
10 40 25
10 41 11
10 42 5
10 43 2
10 44 1
10 45 1
11 10 235
11 11 793
11 12 2070
11 13 4453
11 14 8909
11 15 16918
11 16 31746
11 17 58735
11 18 108686
11 19 199718
11 20 364697
11 21 650951
11 22 1161541
11 23 2002334
11 24 3342336
11 25 5355306
11 26 8163032
11 27 11702944
11 28 15594424
11 29 19041014
11 30 20967257
11 31 20558340
11 32 17917524
11 33 14027285
11 34 10027840
11 35 6639747
11 36 4108888
11 37 2386379
11 38 1301890
11 39 666356
11 40 319365
11 41 143040
11 42 59968
11 43 23723
11 44 8973
11 45 3315
11 46 1218
11 47 447
11 48 167
11 49 66
11 50 26
11 51 11
11 52 5
11 53 2
11 54 1
11 55 1
