1 0 1
2 1 1
3 2 1
3 3 1
4 3 2
4 4 2
4 5 1
4 6 1
5 4 3
5 5 5
5 6 5
5 7 4
5 8 2
5 9 1
5 10 1
6 5 6
6 6 13
6 7 19
6 8 22
6 9 20
6 10 14
6 11 9
6 12 5
6 13 2
6 14 1
6 15 1
7 6 11
7 7 33
7 8 67
7 9 107
7 10 132
7 11 138
7 12 126
7 13 95
7 14 64
7 15 40
7 16 21
7 17 10
7 18 5
7 19 2
7 20 1
7 21 1
8 7 23
8 8 89
8 9 236
8 10 486
8 11 814
8 12 1169
8 13 1454
8 14 1579
8 15 1515
8 16 1290
8 17 970
8 18 658
8 19 400
8 20 220
8 21 114
8 22 56
8 23 24
8 24 11
8 25 5
8 26 2
8 27 1
8 28 1
9 8 47
9 9 240
9 10 797
9 11 2075
9 12 4495
9 13 8404
9 14 13855
9 15 20303
9 16 26631
9 17 31400
9 18 33366
9 19 31996
9 20 27764
9 21 21817
9 22 15558
9 23 10096
9 24 5984
9 25 3247
9 26 1635
9 27 770
9 28 344
9 29 148
9 30 63
9 31 25
9 32 11
9 33 5
9 34 2
9 35 1
9 36 1
10 9 106
10 10 657
10 11 2678
10 12 8548
10 13 22950
10 14 53863
10 15 112618
10 16 211866
10 17 361342
10 18 561106
10 19 795630
10 20 1032754
10 21 1229228
10 22 1343120
10 23 1348674
10 24 1245369
10 25 1057896
10 26 827086
10 27 595418
10 28 394820
10 29 241428
10 30 136370
10 31 71293
10 32 34652
10 33 15767
10 34 6757
10 35 2768
10 36 1102
10 37 428
10 38 165
10 39 66
10 40 26
10 41 11
10 42 5
10 43 2
10 44 1
10 45 1
11 10 235
11 11 1806
11 12 8833
11 13 33851
11 14 109844
11 15 313670
11 16 803905
11 17 1870168
11 18 3978187
11 19 7775398
11 20 14013042
11 21 23350556
11 22 36052412
11 23 51662585
11 24 68803769
11 25 85251441
11 26 98355794
11 27 105723785
11 28 105925685
11 29 98945882
11 30 86182087
11 31 69994055
11 32 53002668
11 33 37417977
11 34 24624123
11 35 15105276
11 36 8639030
11 37 4608750
11 38 2295733
11 39 1069824
11 40 467781
11 41 192777
11 42 75410
11 43 28257
11 44 10249
11 45 3663
11 46 1305
11 47 467
11 48 172
11 49 67
11 50 26
11 51 11
11 52 5
11 53 2
11 54 1
11 55 1
