The vertex V=7 contradicts the Ivashchenko's axiom. #V = 8, #E = 18.
1
 0  0  1  0  1  1  1  0 
 0  0  0  1  1  1  1  0 
 1  0  0  0  1  0  1  1 
 0  1  0  0  0  1  1  1 
 1  1  1  0  0  1  0  1 
 1  1  0  1  1  0  0  1 
 1  1  1  1  0  0  0  1 
 0  0  1  1  1  1  1  0 

The vertex V=3 contradicts the Ivashchenko's axiom. #V = 8, #E = 19.
2
 0  0  1  1  1  1  0  1 
 0  0  0  1  1  1  1  1 
 1  0  0  0  1  1  1  1 
 1  1  0  0  0  1  1  1 
 1  1  1  0  0  0  1  1 
 1  1  1  1  0  0  0  0 
 0  1  1  1  1  0  0  0 
 1  1  1  1  1  0  0  0 

The vertex V=9 contradicts the Ivashchenko's axiom. #V = 9, #E = 19.
3
 0  0  0  0  1  1  1  1  1 
 0  0  0  0  1  0  1  1  1 
 0  0  0  0  0  1  1  1  1 
 0  0  0  0  0  0  0  0  1 
 1  1  0  0  0  0  1  0  1 
 1  0  1  0  0  0  0  1  1 
 1  1  1  0  1  0  0  1  0 
 1  1  1  0  0  1  1  0  0 
 1  1  1  1  1  1  0  0  0 

The vertex V=8 contradicts the Ivashchenko's axiom. #V = 9, #E = 19.
4
 0  0  0  0  1  1  1  1  1 
 0  0  0  0  1  0  1  1  1 
 0  0  0  0  0  1  1  1  1 
 0  0  0  0  0  0  0  0  1 
 1  1  0  0  0  0  1  1  0 
 1  0  1  0  0  0  0  1  1 
 1  1  1  0  1  0  0  0  1 
 1  1  1  0  1  1  0  0  0 
 1  1  1  1  0  1  1  0  0 

The vertex V=8 contradicts the Ivashchenko's axiom. #V = 9, #E = 20.
5
 0  0  0  0  1  1  1  1  1 
 0  0  0  0  1  0  1  1  1 
 0  0  0  0  0  1  1  1  1 
 0  0  0  0  0  0  1  0  1 
 1  1  0  0  0  0  1  1  0 
 1  0  1  0  0  0  0  1  1 
 1  1  1  1  1  0  0  0  1 
 1  1  1  0  1  1  0  0  0 
 1  1  1  1  0  1  1  0  0 

The vertex V=9 contradicts the Ivashchenko's axiom. #V = 9, #E = 20.
6
 0  0  0  0  1  1  1  1  1 
 0  0  0  0  1  0  1  1  1 
 0  0  0  0  0  1  1  1  1 
 0  0  0  0  0  0  0  0  1 
 1  1  0  0  0  1  1  0  1 
 1  0  1  0  1  0  0  1  1 
 1  1  1  0  1  0  0  1  0 
 1  1  1  0  0  1  1  0  0 
 1  1  1  1  1  1  0  0  0 

The vertex V=8 contradicts the Ivashchenko's axiom. #V = 9, #E = 20.
7
 0  0  0  0  1  1  1  1  1 
 0  0  0  0  1  0  1  1  1 
 0  0  0  0  0  1  1  1  1 
 0  0  0  0  0  0  0  0  1 
 1  1  0  0  0  1  1  1  0 
 1  0  1  0  1  0  0  1  1 
 1  1  1  0  1  0  0  0  1 
 1  1  1  0  1  1  0  0  0 
 1  1  1  1  0  1  1  0  0 

The vertex V=9 contradicts the Ivashchenko's axiom. #V = 9, #E = 20.
8
 0  0  0  0  1  1  1  1  1 
 0  0  0  0  1  0  1  1  1 
 0  0  0  0  0  1  1  1  1 
 0  0  0  0  0  1  0  0  1 
 1  1  0  0  0  0  0  1  1 
 1  0  1  1  0  0  1  0  1 
 1  1  1  0  0  1  0  1  0 
 1  1  1  0  1  0  1  0  0 
 1  1  1  1  1  1  0  0  0 

The vertex V=9 contradicts the Ivashchenko's axiom. #V = 9, #E = 20.
9
 0  0  0  1  0  1  1  0  1 
 0  0  0  0  1  1  0  1  1 
 0  0  0  0  0  1  0  0  1 
 1  0  0  0  0  0  1  1  1 
 0  1  0  0  0  0  1  1  1 
 1  1  1  0  0  0  1  1  1 
 1  0  0  1  1  1  0  1  0 
 0  1  0  1  1  1  1  0  0 
 1  1  1  1  1  1  0  0  0 

The vertex V=9 contradicts the Ivashchenko's axiom. #V = 9, #E = 20.
10
 0  0  0  1  1  0  1  1  1 
 0  0  0  0  1  1  1  1  1 
 0  0  0  0  0  1  1  1  1 
 1  0  0  0  0  0  0  0  1 
 1  1  0  0  0  0  0  1  1 
 0  1  1  0  0  0  1  0  1 
 1  1  1  0  0  1  0  1  0 
 1  1  1  0  1  0  1  0  0 
 1  1  1  1  1  1  0  0  0 

The vertex V=7 contradicts the Ivashchenko's axiom. #V = 9, #E = 21.
11
 0  0  0  0  1  1  1  1  1 
 0  0  0  0  1  0  1  1  1 
 0  0  0  0  0  1  1  1  1 
 0  0  0  0  0  0  0  1  1 
 1  1  0  0  0  1  1  1  0 
 1  0  1  0  1  0  1  0  1 
 1  1  1  0  1  1  0  0  0 
 1  1  1  1  1  0  0  0  1 
 1  1  1  1  0  1  0  1  0 

The vertex V=9 contradicts the Ivashchenko's axiom. #V = 9, #E = 21.
12
 0  0  0  0  1  1  1  1  1 
 0  0  0  0  1  0  1  1  1 
 0  0  0  0  0  1  1  1  1 
 0  0  0  0  0  1  0  1  1 
 1  1  0  0  0  0  1  0  1 
 1  0  1  1  0  0  0  1  1 
 1  1  1  0  1  0  0  1  0 
 1  1  1  1  0  1  1  0  0 
 1  1  1  1  1  1  0  0  0 

The vertex V=9 contradicts the Ivashchenko's axiom. #V = 9, #E = 21.
13
 0  0  0  0  1  1  1  1  1 
 0  0  0  0  1  1  0  1  1 
 0  0  0  0  0  1  1  1  1 
 0  0  0  0  0  0  1  0  1 
 1  1  0  0  0  0  1  1  1 
 1  1  1  0  0  0  1  1  0 
 1  0  1  1  1  1  0  0  1 
 1  1  1  0  1  1  0  0  0 
 1  1  1  1  1  0  1  0  0 

The vertex V=9 contradicts the Ivashchenko's axiom. #V = 9, #E = 21.
14
 0  0  0  0  1  1  1  1  1 
 0  0  0  0  1  1  0  1  1 
 0  0  0  0  1  0  1  1  1 
 0  0  0  0  0  1  1  0  1 
 1  1  1  0  0  0  1  1  0 
 1  1  0  1  0  0  0  1  1 
 1  0  1  1  1  0  0  0  1 
 1  1  1  0  1  1  0  0  0 
 1  1  1  1  0  1  1  0  0 

The vertex V=8 contradicts the Ivashchenko's axiom. #V = 9, #E = 21.
15
 0  0  0  1  0  1  1  1  0 
 0  0  0  0  1  1  1  1  0 
 0  0  0  0  0  0  1  1  1 
 1  0  0  0  0  1  0  1  1 
 0  1  0  0  0  0  1  1  1 
 1  1  0  1  0  0  1  0  1 
 1  1  1  0  1  1  0  0  1 
 1  1  1  1  1  0  0  0  1 
 0  0  1  1  1  1  1  1  0 

The vertex V=7 contradicts the Ivashchenko's axiom. #V = 9, #E = 21.
16
 0  0  0  1  0  1  1  1  0 
 0  0  0  0  1  0  1  1  1 
 0  0  0  0  1  0  0  1  1 
 1  0  0  0  0  1  1  0  1 
 0  1  1  0  0  1  1  1  0 
 1  0  0  1  1  0  0  1  1 
 1  1  0  1  1  0  0  0  1 
 1  1  1  0  1  1  0  0  1 
 0  1  1  1  0  1  1  1  0 

The vertex V=8 contradicts the Ivashchenko's axiom. #V = 9, #E = 21.
17
